,Title,Published_date,Views,Likes,Comments,Month
323,Campus Safety Resources - University of Central Missouri,2017-07-25,119,0,0,Jul
324,The Wall That Heals 2017 - University of Central Missouri,2017-06-30,656,4,2,Jun
325,The Missouri Innovation Campus,2017-06-22,1892,12,0,Jun
326,Aspen Contracting Provides 36 Internships to UCM Football Players,2017-06-21,221,3,0,Jun
327,You Are Welcome Here 2017 - University of Central Missouri,2017-06-16,5840,60,1,Jun
328,"Daniel Wicks: Soldier, Student, and College Graduate - University of Central Missouri",2017-05-26,764,9,0,May
329,Why Do You Choose Red? - University of Central Missouri,2017-05-24,3338,14,0,May
330,Spring 2017 Commencement - University of Central Missouri,2017-05-09,1159,6,0,May
331,May the Fourth Be With You - University of Central Missouri,2017-05-04,250,8,0,May
332,Surprise Breakfast - University of Central Missouri,2017-04-27,238,3,0,Apr
333,Fitness Programming and Implementation - University of Central Missouri,2017-04-20,653,2,0,Apr
334,Missouri Innovation Campus - Brett Burasco and Ashionna Morehead,2017-04-18,288,0,0,Apr
335,49th Annual Children's Literature Festival - University of Central Missouri,2017-03-28,589,3,0,Mar
336,Missouri Innovation Campus - Construction Progress,2017-03-28,744,3,1,Mar
337,SeedStar Books - University of Central Missouri,2017-03-20,258,1,0,Mar
338,TextCaster Alerts - University of Central Missouri,2017-03-03,458,1,0,Mar
339,BIG Idea Conference - University of Central Missouri,2017-02-17,285,1,0,Feb
340,It's Time to Start Something - University of Central Missouri,2017-02-06,6345,15,0,Feb
341,UCM - Campus Eye,2017-02-01,540,1,0,Feb
342,UCM Study Abroad - Netherlands,2017-01-19,242,0,0,Jan
343,UCM Study Abroad - Croatia,2017-01-19,235,3,0,Jan
344,UCM Study Abroad - Germany,2017-01-19,172,1,0,Jan
345,UCM Study Abroad - Spain,2017-01-19,427,4,0,Jan
346,Martin Luther King Jr. Day of Service at UCM,2017-01-19,37,0,0,Jan
347,Grant Curtis Brings Hollywood to the Classroom - University of Central Missouri,2016-12-20,478,8,0,Dec
348,Happy Holidays 2016 - University of Central Missouri,2016-12-06,897,6,0,Dec
349,President's Open House 2016 - University of Central Missouri,2016-12-05,75,0,0,Dec
350,UCM Mules Football - NCAA-II Playoff Bound!,2016-11-18,528,1,0,Nov
351,UCM - Mo's Halloween,2016-11-18,132,0,0,Nov
352,Global Vision Scholarship - University of Central Missouri,2016-11-18,143,0,0,Nov
353,Veterans Day 2016 - University of Central Missouri,2016-11-18,32,0,0,Nov
354,Feature Friday - Jeff Huffman,2016-11-17,305,0,0,Nov
355,"Faculty Friday -  Nov. 4, 2016 - Mia Hynes",2016-11-09,109,1,0,Nov
356,UCM Homecoming 2016,2016-10-24,796,1,0,Oct
357,UCM Distinguished Alumni for Service 2016 - Dan D. Power,2016-10-24,355,4,0,Oct
358,UCM Distinguished Alumni 2016 - MG (Ret.) Rick Mustion,2016-10-24,416,2,0,Oct
359,UCM Distinguished Alumni 2016 - Adrian Andrews,2016-10-24,482,7,0,Oct
360,Blood Drive at UCM,2016-10-18,73,0,0,Oct
361,Project Community Connect at UCM,2016-10-17,313,1,0,Oct
362,"Faculty Friday - Oct. 14, 2016 - Jean Neurnberger",2016-10-14,54,0,0,Oct
363,The Missouri Innovation Campus - Beam Topping,2016-10-13,226,1,0,Oct
364,"Faculty Friday - Sept. 29, 2016 - Michael Makara",2016-09-29,165,2,0,Sep
365,Cedric King at UCM,2016-09-19,86,0,0,Sep
366,UCM Fall Concert 2016,2016-09-12,505,0,0,Sep
367,"Faculty Friday - September 2, 2016 - John Wilson",2016-09-02,67,1,0,Sep
368,Poke-Mo,2016-08-03,2409,13,0,Aug
369,Prime Time at UCM,2016-02-01,604,6,0,Feb
370,UCM Distinguished Alumni 2015 - Tom Wyrsch,2015-10-28,50,0,0,Oct
371,UCM Distinguished Alumni 2015 - Brigadier General Troy D. Kok,2015-10-28,561,5,0,Oct
372,UCM Distinguished Alumni 2015 - Dr. Ashwin Vibhakar,2015-10-28,231,3,0,Oct
373,UCM Distinguished Alumni 2014 - Meryl Lin McKean,2014-10-22,173,1,0,Oct
374,UCM Distinguished Alumni 2014 - Anand Mehta,2014-10-22,685,8,0,Oct
375,UCM Distinguished Alumni 2014 - BG C. David Turner,2014-10-22,1017,12,1,Oct
376,UCM Distinguished Alumni 2014 - Susan Arthurs,2014-10-22,111,1,1,Oct
377,UCM Distinguished Alumni 2013 - Dr. Marlene Mawson,2013-10-29,297,2,0,Oct
378,UCM Distinguished Alumni 2013 - Lt. Col. Gavin Tade,2013-10-29,1736,16,3,Oct
379,UCM Distinguished Alumni 2013 - Col. (Ret.) Paulo Guerra,2013-10-29,223,1,0,Oct
380,UCM Distinguished Alumni 2013 - Frank Fendorf,2013-10-29,235,1,0,Oct
381,Fox 4 Coverage of UCM Fall 2013,2013-08-21,747,7,0,Aug
382,President Obama at UCM,2013-07-27,6862,46,1,Jul
383,UCM Awaits President Obama,2013-07-23,6906,30,3,Jul
